Region,Province,Private - Dentist,Public - Dentist,Total - Dentist,Private - Doctor: Clinical,Public - Doctor: Clinical,Total - Doctor: Clinical,Private - Medical Technologist,Public - Medical Technologist,Total - Medical Technologist,Private - Midwife,Public - Midwife,Total - Midwife,Private - Nurse,Public - Nurse,Total - Nurse,Private - Nutritionist/ Dietician,Public - Nutritionist/ Dietician,Total - Nutritionist/ Dietician,Private - Occupational Therapist,Public - Occupational Therapist,Total - Occupational Therapist,Private - Pharmacist,Public - Pharmacist,Total - Pharmacist,Private - Physical Therapist,Public - Physical Therapist,Total - Physical Therapist,Private - Radiologic Technologist,Public - Radiologic Technologist,Total - Radiologic Technologist,Private - X-ray Technologist,Public - X-ray Technologist,Total - X-ray Technologist,Private - Grand Total,Public - Grand Total,Total - Grand Total,clinic,dentist,doctors,healthcare,hospital,laboratory,others,pharmacy,social_facility,Total Amenities,Population
REGION IV-A (CALABARZON),LAGUNA,7,22,29,506,179,685,150,54,204,120,413,533,1564,550,2114,31,18,49,4,0,4,64,26,90,55,9,64,117,14,131,13,5,18,2631,1290,3921,77,57,40,0,61,0,10,204,0,449,3382193
REGION IV-A (CALABARZON),QUEZON,10,28,38,118,82,200,50,28,78,58,106,164,713,263,976,13,15,28,1,0,1,21,17,38,8,0,8,27,12,39,7,1,8,1026,552,1578,33,11,5,0,37,0,3,87,1,177,2229383
REGION IV-A (CALABARZON),RIZAL,4,10,14,309,60,369,52,24,76,40,76,116,388,203,591,11,2,13,0,0,0,33,8,41,0,0,0,18,2,20,5,2,7,860,387,1247,64,40,5,0,55,0,7,108,0,279,3330143
REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL NORTE,5,8,13,30,72,102,18,29,47,8,238,246,75,169,244,4,5,9,0,0,0,30,14,44,1,1,2,2,7,9,1,0,1,174,543,717,5,1,1,0,10,0,1,8,0,26,1047455
REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA DEL SUR,6,13,19,159,217,376,88,80,168,159,374,533,893,778,1671,16,26,42,1,1,2,41,51,92,9,12,21,43,22,65,14,1,15,1429,1575,3004,27,3,3,0,28,0,2,69,0,132,2027902
REGION IX (ZAMBOANGA PENINSULA),ZAMBOANGA SIBUGAY,4,6,10,32,20,52,22,13,35,12,100,112,122,96,218,4,2,6,0,0,0,78,2,80,0,0,0,12,0,12,2,0,2,288,239,527,1,0,0,0,3,0,1,3,0,8,669840
REGION V (BICOL REGION),ALBAY,9,23,32,101,128,229,54,53,107,67,196,263,378,612,990,8,15,23,0,1,1,13,24,37,5,1,6,6,8,14,8,7,15,649,1068,1717,36,9,2,0,19,0,5,38,0,109,1374768
REGION V (BICOL REGION),CAMARINES NORTE,3,10,13,32,27,59,22,21,43,22,126,148,133,175,308,3,4,7,0,0,0,6,4,10,0,0,0,5,3,8,3,2,5,229,372,601,9,1,1,0,9,0,0,24,0,44,629699
REGION V (BICOL REGION),CAMARINES SUR,18,18,36,145,109,254,71,41,112,167,353,520,763,346,1109,15,12,27,0,1,1,15,12,27,17,6,23,17,10,27,11,5,16,1239,913,2152,14,4,3,0,21,0,3,37,0,82,2068244
REGION V (BICOL REGION),CATANDUANES,0,13,13,1,56,57,6,18,24,5,127,132,12,207,219,1,7,8,0,0,0,1,8,9,0,1,1,0,9,9,0,0,0,26,446,472,3,0,0,0,8,0,0,8,0,19,271879
REGION V (BICOL REGION),MASBATE,1,13,14,37,23,60,12,16,28,3,107,110,43,78,121,0,1,1,1,0,1,6,6,12,1,0,1,1,3,4,4,0,4,109,247,356,2,0,6,0,5,0,1,3,0,17,908920
REGION V (BICOL REGION),SORSOGON,14,16,30,35,51,86,20,32,52,12,222,234,44,212,256,1,10,11,0,0,0,2,7,9,0,0,0,0,6,6,1,1,2,129,557,686,2,0,0,0,18,0,1,17,0,38,828655
REGION VI (WESTERN VISAYAS),AKLAN,1,11,12,74,35,109,14,14,28,6,118,124,128,152,280,3,5,8,3,1,4,10,8,18,2,1,3,2,4,6,7,0,7,250,349,599,13,2,3,0,13,0,1,12,0,44,615475
REGION VI (WESTERN VISAYAS),ANTIQUE,5,7,12,55,36,91,5,19,24,6,175,181,25,109,134,0,4,4,0,0,0,2,7,9,0,0,0,1,1,2,1,0,1,100,358,458,5,2,2,0,16,0,0,14,0,39,612974
REGION VI (WESTERN VISAYAS),CAPIZ,1,14,15,87,52,139,21,37,58,3,232,235,254,402,656,5,5,10,0,6,6,6,11,17,5,1,6,11,4,15,1,1,2,394,765,1159,38,10,1,0,26,0,5,12,0,92,804952
REGION VI (WESTERN VISAYAS),GUIMARAS,0,5,5,0,8,8,0,19,19,0,62,62,0,62,62,0,4,4,0,0,0,0,5,5,0,2,2,0,0,0,0,0,0,0,167,167,0,0,0,0,4,0,2,1,0,7,187842
REGION VI (WESTERN VISAYAS),ILOILO,2,50,52,589,304,893,173,123,296,105,404,509,1019,851,1870,24,25,49,0,11,11,54,57,111,33,7,40,72,27,99,14,4,18,2085,1863,3948,81,9,13,0,43,0,4,186,0,336,2509525
REGION VI (WESTERN VISAYAS),NEGROS OCCIDENTAL,3,35,38,122,194,316,52,82,134,26,611,637,260,719,979,4,15,19,3,12,15,24,32,56,2,4,6,10,18,28,0,5,5,506,1727,2233,31,8,1,0,42,0,5,74,0,161,3223955
REGION VII (CENTRAL VISAYAS),BOHOL,0,9,9,31,151,182,19,47,66,14,174,188,142,437,579,2,10,12,0,0,0,13,24,37,2,0,2,4,8,12,0,1,1,227,861,1088,61,2,6,0,26,0,0,36,0,131,1394329
REGION VII (CENTRAL VISAYAS),CEBU,22,49,71,759,527,1286,381,153,534,261,439,700,2904,1473,4377,50,31,81,0,10,10,192,56,248,20,15,35,152,23,175,7,1,8,4748,2777,7525,116,24,18,0,81,0,19,239,0,497,5151274
REGION VII (CENTRAL VISAYAS),NEGROS ORIENTAL,2,11,13,54,107,161,53,55,108,13,340,353,227,388,615,6,14,20,0,0,0,16,20,36,9,2,11,7,4,11,0,2,2,387,943,1330,35,6,7,0,12,0,3,41,0,104,1432990
REGION VII (CENTRAL VISAYAS),SIQUIJOR,0,3,3,0,7,7,0,8,8,0,19,19,0,50,50,0,3,3,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,92,92,6,1,3,0,3,0,3,12,0,28,103395
REGION VIII (EASTERN VISAYAS),BILIRAN,0,2,2,0,24,24,2,15,17,0,54,54,0,40,40,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,137,139,1,0,0,0,1,0,2,3,0,7,179312
REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,1,11,12,11,51,62,14,33,47,4,125,129,9,89,98,0,5,5,0,0,0,6,7,13,0,0,0,0,0,0,0,1,1,45,322,367,8,3,3,0,16,0,3,11,0,44,477168
REGION VIII (EASTERN VISAYAS),LEYTE,5,44,49,212,202,414,115,96,211,80,309,389,423,422,845,8,10,18,0,0,0,50,19,69,13,0,13,21,6,27,1,3,4,928,1111,2039,67,11,23,0,51,0,6,100,0,258,2028728
REGION VIII (EASTERN VISAYAS),NORTHERN SAMAR,1,23,24,3,54,57,6,30,36,1,148,149,20,262,282,0,9,9,0,0,0,1,15,16,1,3,4,0,1,1,0,1,1,33,546,579,14,6,6,0,6,0,6,20,0,58,639186
